sep=,,,
Time , x , y , z
2017-03-26 10:35:34.019 ,-1.0720000267,7.2020001411,5.515999794
2017-03-26 10:35:34.192 ,0.6119999886,7.0479998589,7.3550000191
2017-03-26 10:35:34.390 ,-2.1449999809,5.3629999161,7.8140001297
2017-03-26 10:35:34.587 ,-2.4509999752,4.1370000839,8.2740001678
2017-03-26 10:35:34.787 ,-0.3059999943,3.6770000458,12.1049995422
2017-03-26 10:35:34.987 ,0.4589999914,5.515999794,7.3550000191
2017-03-26 10:35:35.192 ,1.3789999485,7.0479998589,7.0479998589
2017-03-26 10:35:35.401 ,0.4589999914,7.507999897,6.4349999428
2017-03-26 10:35:35.593 ,1.9919999838,6.742000103,5.0560002327
2017-03-26 10:35:35.787 ,0.9190000296,7.6609997749,6.4349999428
2017-03-26 10:35:35.987 ,1.0720000267,6.1290001869,10.265999794
2017-03-26 10:35:36.192 ,1.0720000267,5.515999794,7.3550000191
2017-03-26 10:35:36.389 ,0.9190000296,6.4349999428,7.2020001411
2017-03-26 10:35:36.587 ,1.3789999485,6.8949999809,7.9679999352
2017-03-26 10:35:36.821 ,1.5319999456,6.4349999428,6.4349999428
2017-03-26 10:35:37.008 ,-0.7659999728,6.8949999809,6.8949999809
2017-03-26 10:35:37.193 ,-0.6119999886,7.3550000191,6.742000103
2017-03-26 10:35:37.406 ,0.7659999728,7.0479998589,6.4349999428
2017-03-26 10:35:37.598 ,-1.8380000591,6.4349999428,7.0479998589
2017-03-26 10:35:37.798 ,-1.0720000267,6.1290001869,7.6609997749
2017-03-26 10:35:37.999 ,-0.3059999943,6.8949999809,7.6609997749
2017-03-26 10:35:38.212 ,-0.7659999728,6.742000103,7.507999897
2017-03-26 10:35:38.400 ,0.1529999971,6.742000103,6.8949999809
2017-03-26 10:35:38.624 ,-0.3059999943,6.742000103,6.742000103
2017-03-26 10:35:38.824 ,0.1529999971,7.0479998589,7.0479998589
2017-03-26 10:35:39.031 ,0.3059999943,7.0479998589,6.742000103
2017-03-26 10:35:39.192 ,0.3059999943,7.2020001411,6.742000103
2017-03-26 10:35:39.388 ,0.7659999728,7.507999897,6.4349999428
2017-03-26 10:35:39.587 ,-0.1529999971,6.742000103,6.2820000648
2017-03-26 10:35:39.788 ,-0.4589999914,6.2820000648,6.5890002251
2017-03-26 10:35:39.986 ,-0.6119999886,5.9759998322,8.1210002899
2017-03-26 10:35:40.191 ,1.5319999456,5.9759998322,6.4349999428
2017-03-26 10:35:40.391 ,0.3059999943,3.9839999676,9.6529998779
2017-03-26 10:35:40.590 ,2.6040000916,6.4349999428,8.4270000458
2017-03-26 10:35:40.786 ,-1.5319999456,6.4349999428,6.1290001869
2017-03-26 10:35:40.987 ,-1.8380000591,6.4349999428,6.5890002251
2017-03-26 10:35:41.191 ,-3.9839999676,8.5810003281,7.6609997749
2017-03-26 10:35:41.387 ,0.7659999728,7.0479998589,10.7259998322
2017-03-26 10:35:41.588 ,3.0639998913,5.6690001488,2.6040000916
2017-03-26 10:35:41.786 ,1.3789999485,8.2740001678,4.1370000839
2017-03-26 10:35:41.987 ,-1.6849999428,6.8949999809,4.9029998779
2017-03-26 10:35:42.192 ,-3.8299999237,6.5890002251,7.9679999352
2017-03-26 10:35:42.403 ,0.6119999886,8.1210002899,6.8949999809
2017-03-26 10:35:42.587 ,-1.8380000591,7.9679999352,4.5970001221
2017-03-26 10:35:42.787 ,-1.5319999456,8.8870000839,4.5970001221
2017-03-26 10:35:43.014 ,-0.3059999943,7.6609997749,4.1370000839
2017-03-26 10:35:43.208 ,-1.3789999485,8.4270000458,4.1370000839
2017-03-26 10:35:43.387 ,-0.3059999943,7.2020001411,2.9110000134
2017-03-26 10:35:43.593 ,-1.2250000238,4.4429998398,2.9110000134
2017-03-26 10:35:43.787 ,9.5,4.75,6.1290001869
2017-03-26 10:35:43.988 ,14.0970001221,12.4110002518,12.1049995422
